No.,Name,Type,Zone,Date From,Date To,From,Dep,To,Arr,Duration,Halts,Dep Days,Classes,Distance,Speed,Return
12617,Mangala Lakshadweep SF Express (PT),SF,SR,,,ERS,13:25,NZM,13:35,48h 10m,46,SMTWTFS,SL 3A 2A 3E,2761 km,57 km/hr,12618
12618,Mangala Lakshadweep Express (PT),SF,SR,,,NZM,05:35,ERS,07:30,49h 55m,41,SMTWTFS,SL 3A 2A 3E,2761 km,55 km/hr,12617
12649,Karnataka Sampark Kranti Express (Via Ballari) (PT),SKr,SWR,,,YPR,13:00,NZM,08:10,43h 10m,18,SMTWTFS,SL 3A 2A 1A,2747 km,64 km/hr,12650
12650,Karnataka Sampark Kranti Express (Via Ballari) (PT),SKr,SWR,,,NZM,08:20,YPR,04:30,44h 10m,18,SMTWTFS,SL 3A 2A 1A,2747 km,62 km/hr,12649
15647,Mumbai LTT - Guwahati Express (PT),Exp,NFR,,,LTT,08:05,GHY,12:30,52h 25m,50,SMTWTFS,SL 3A 2A,2735 km,52 km/hr,15648
15648,Guwahati - Mumbai LTT Express (PT),Exp,NFR,,,GHY,15:00,LTT,17:50,50h 50m,50,SMTWTFS,SL 3A 2A,2735 km,54 km/hr,15647
19568,Okha - Tuticorin Vivek Express (PT),Exp,WR,,,OKHA,00:55,TN,01:30,48h 35m,39,SMTWTFS,SL 3A 2A 3E,2711 km,56 km/hr,19567
19567,Tuticorin - Okha Vivek Express (PT),Exp,WR,,,TN,23:35,OKHA,03:35,52h 0m,39,SMTWTFS,SL 2A 3E,2711 km,52 km/hr,19568
22687,Mysuru - Varanasi SF Express (PT),SF,SWR,,,MYS,07:30,BSB,08:25,48h 55m,32,SMTWTFS,SL CC 3A 2A,2707 km,55 km/hr,22688
22688,Varanasi - Mysuru SF Express,SF,SWR,,,BSB,21:10,MYS,22:00,48h 50m,32,SMTWTFS,SL 3A 2A,2707 km,55 km/hr,22687
15228,Muzaffarpur - SMVT Bengaluru Express (PT),Exp,ECR,,,MFP,07:25,SMVB,09:45,50h 20m,33,SMTWTFS,SL 3A 2A 1A 3E,2701 km,54 km/hr,15227
15227,SMVT Bengaluru - Muzaffarpur Express (PT),Exp,ECR,,,SMVB,00:30,MFP,01:10,48h 40m,33,SMTWTFS,SL 3A 2A 1A 3E,2701 km,55 km/hr,15228
22353,Patna - SMVT Bengaluru Humsafar Express,Hms,ECR,,,PNBE,20:20,SMVB,16:35,44h 15m,20,SMTWTFS,3A,2691 km,61 km/hr,22354
22354,SMVT Bengaluru - Patna Humsafar Express,Hms,ECR,,,SMVB,13:50,PNBE,10:25,44h 35m,21,SMTWTFS,3A,2691 km,60 km/hr,22353
12647,Kongu SF Express (PT),SF,SR,,,CBE,16:25,NZM,14:15,45h 50m,23,SMTWTFS,SL 3A 2A,2687 km,59 km/hr,12648
22351,Patliputra - SMVT Bengaluru SF Express,SF,ECR,,,PPTA,20:15,SMVB,16:35,44h 20m,25,SMTWTFS,SL 3A 2A 1A 3E,2687 km,61 km/hr,22352
12648,Kongu SF Express,SF,SR,,,NZM,07:00,CBE,06:30,47h 30m,24,SMTWTFS,SL 3A 2A,2687 km,57 km/hr,12647
22352,SMVT Bengaluru - Patliputra SF Express,SF,ECR,,,SMVB,13:50,PPTA,10:25,44h 35m,24,SMTWTFS,SL 3A 2A 1A 3E,2687 km,60 km/hr,22351
12295,Sanghamitra SF Express (PT),SF,SWR,,,SMVB,09:15,DNR,07:40,46h 25m,33,SMTWTFS,SL 3A 2A 1A,2681 km,58 km/hr,12296
12296,Sanghamitra SF Express (PT),SF,SWR,,,DNR,20:15,SMVB,16:10,43h 55m,33,SMTWTFS,SL 3A 2A 1A,2681 km,61 km/hr,12295
12969,Coimbatore - Jaipur SF Express (PT),SF,NWR,,,CBE,09:25,JP,06:45,45h 20m,36,SMTWTFS,SL 3A 2A 1A 3E,2679 km,59 km/hr,12970
12970,Jaipur - Coimbatore SF Express (PT),SF,NWR,,,JP,19:35,CBE,16:50,45h 15m,36,SMTWTFS,SL 3A 2A 1A 3E,2679 km,59 km/hr,12969
12652,Tamil Nadu Sampark Kranti Express,SKr,SR,,,NZM,05:20,MDU,00:05,42h 45m,13,SMTWTFS,SL 3A 2A,2672 km,63 km/hr,12651
12651,Tamil Nadu Sampark Kranti Express (PT),SKr,SR,,,MDU,00:55,NZM,18:35,41h 40m,13,SMTWTFS,SL 3A 2A,2672 km,64 km/hr,12652
12950,Santragachi - Porbandar Kavi Guru SF Express (PT),SF,WR,,,SRC,19:50,PBR,17:40,45h 50m,35,SMTWTFS,SL 3A 2A 1A,2656 km,58 km/hr,12949
12949,Porbandar - Santragachi Kavi Guru SF Express (PT),SF,WR,,,PBR,09:10,SRC,07:30,46h 20m,36,SMTWTFS,SL 3A 2A 1A,2656 km,57 km/hr,12950
22646,Ahilya Nagari SF Express (PT),SF,SR,,,TVCN,06:35,INDB,05:05,46h 30m,47,SMTWTFS,SL 2A 3E,2642 km,57 km/hr,22645
22645,Ahilya Nagari SF Express (PT),SF,SR,,,INDB,16:45,TVCN,15:40,46h 55m,48,SMTWTFS,SL 2A 3E,2642 km,56 km/hr,22646
15904,Chandigarh - Dibrugarh Express (PT),Exp,NFR,,,CDG,23:35,DBRG,05:20,53h 45m,34,SMTWTFS,SL 3A 2A,2639 km,49 km/hr,15903
15903,Dibrugarh - Chandigarh Express (PT),Exp,NFR,,,DBRG,09:10,CDG,13:15,52h 5m,35,SMTWTFS,SL 3A 2A,2639 km,51 km/hr,15904
12284,Hazrat Nizamuddin - Ernakulam Jn. Duronto Express,Drnt,NR,,,NZM,21:40,ERS,14:30,40h 50m,10,SMTWTFS,2S SL 3A 2A 1A,2638 km,65 km/hr,12283
12283,Ernakulam Jn. - Hazrat Nizamuddin Duronto Express,Drnt,NR,,,ERS,23:25,NZM,17:20,41h 55m,10,SMTWTFS,2S SL 3A 2A 1A,2638 km,63 km/hr,12284
22655,Ernakulam Jn. - Hazrat Nizamuddin SF Express (PT),SF,SR,,,ERS,05:15,NZM,22:40,41h 25m,23,SMTWTFS,SL 3A 2A 3E,2638 km,64 km/hr,22656
22656,Hazrat Nizamuddin - Ernakulam Jn. SF Express,SF,SR,,,NZM,05:00,ERS,00:15,43h 15m,23,SMTWTFS,SL 3A 2A 3E,2638 km,61 km/hr,22655
12782,Hazrat Nizamuddin - Mysuru Swarna Jayanti SF Express,SF,SWR,,,NZM,05:10,MYS,02:20,45h 10m,30,SMTWTFS,SL 3A 2A 1A,2617 km,58 km/hr,12781
12781,Mysuru - Hazrat Nizamuddin Swarna Jayanti SF Express (PT),SF,SWR,,,MYS,19:30,NZM,18:45,47h 15m,30,SMTWTFS,SL 3A 2A 1A,2617 km,55 km/hr,12782
19616,Kamakhya - Udaipur City Kavi Guru Express (PT),Exp,NWR,,,KYQ,18:30,UDZ,00:25,53h 55m,43,SMTWTFS,SL 3A 2A 3E,2610 km,48 km/hr,19615
12630,Karnataka Sampark Kranti Express (Via Pune) (PT),SKr,SWR,,,NZM,08:30,YPR,05:40,45h 10m,13,SMTWTFS,SL 3A 2A 1A,2610 km,58 km/hr,12629
12629,Karnataka Sampark Kranti Express (Via Pune) (PT),SKr,SWR,,,YPR,14:45,NZM,11:40,44h 55m,13,SMTWTFS,SL 3A 2A 1A,2610 km,58 km/hr,12630
19615,Udaipur City - Kamakhya Kavi Guru Express (PT),Exp,NWR,,,UDZ,16:05,KYQ,00:10,56h 5m,43,SMTWTFS,SL 3A 2A 3E,2610 km,47 km/hr,19616
20501,Agartala - Anand Vihar Terminal Tejas Rajdhani Express,Raj,NFR,,,AGTL,15:20,ANVT,10:50,43h 30m,16,SMTWTFS,3A 2A 1A,2593 km,60 km/hr,20502
20502,Anand Vihar Terminal - Agartala Tejas Rajdhani Express,Raj,NFR,,,ANVT,19:50,AGTL,16:00,44h 10m,16,SMTWTFS,3A 2A 1A,2593 km,59 km/hr,20501
12539,Yesvantpur - Lucknow SF Express (Via Perambur),SF,SWR,,,YPR,13:30,LKO,10:35,45h 5m,17,SMTWTFS,SL 3A 2A,2591 km,57 km/hr,12540
